id,title,uniform_title,alternative_title,enumeration_chronology,associated_name,publication_place,publisher,publication_date,start_date,end_date,edition,issuance,frequency,language,type_of_resource,format,extent,genre,abstract,subject,temporal_coverage,geographic_coverage,target_audience,preceded_by,succeeded_by,issn,lccn,oclcn,url
1025911,"Family pastime; or, homes made happy: A collection of games for the social circle",,,,,New York,Bunce & Brother,c1855⁾,,,,monographic,,English,text,print,222 p. : ill. ; 19 cm.,,,Games,,,,,,,,,
948715,"family tour through the British Empire: containing some account of its natural and artificial curiosities, history, and antiquities, interspersed with biographical anecdotes particularly adapted to the amusement and instruction of youth, A",,,,,Philadelphia,Published and sold by Jacob Johnson,1804,,,,monographic,,English,text,print,"iv, 354 p. : 1 folded map ; 17 cm.",,,Description and travel,,Great Britain,,,,,97207903,,
1627730,"famous history of the two unfortunate lovers, Hero & Leander, The",,,,,Glasgow,Printed for the Booksellers,[18--?],1800,1850,,monographic,,English,text,print,24 p. 16 cm.,,,"Chapbooks, Scottish",,,,,,,,,
619620,Famous men of ancient times,,,,,Boston,"Bradbury, Soden",1843,,,,monographic,,English,text,print,310 p. illus. 18 cm.,biography,,Biography|||Juvenile literature,,Greece|||Rome|||Mediterranean Region; Mediterranean Sea,,,,,02018001,,
1038422,Famous men of modern times,,,,,Boston,"Bradbury, Soden",1843,,,2nd ed.,monographic,,English,text,print,288 p. : ill. ; 18 cm.,biography,,Biography|||Juvenile literature,,,,,,,,,
1038409,Famous types of womanhood / by Sarah Knowles Bolton,,,,,New York,Thomas Y. Crowell,c1892,,,,monographic,,English,text,print,350 p. : ill. ; 19 cm.,,,Women|||Biography,,,,,,,,,
1123523,Fanciful tales,,,,,New York,C. Scribner,c1894,,,,monographic,,English,text,print,"xiii, 135 p., [4] leaves of plates : ill. ; 19 cm.",,,,,,,,,,04035679,,
1094151,"Fanny Mansfield, or, The adopted sister",,Fanny Mansfield|||Adopted sister,,American Sunday-School Union (publisher),Philadelphia :,"American Sunday-School Union, no. 146 Chestnut Street,|||American Sunday-School Union",[1847],,,,monographic,,English,text,print|||unmediated|||volume,190 pages : illustrations ; 15 cm,Juvenile literature-1847|||Sunday school literature-1847|||text,,Children's stories|||Sunday school literature,,,juvenile,,,,2013656525,,
7948921,"faries & the alphabet, The",,Fairies & the alphabet|||Fairies and the alphabet|||Pleasant tale of the alphabet and the fairies,,"Barfoot, James Richard, 1794-1863 (illustrator)",London,"Cowan & Standring, 8 & 9 Finsbury Street",[approximately 1855?],,,,monographic,,English,text,print|||unmediated|||volume,7 unnumbered leaves : color illustrations ; 21 cm.,text,,Alphabet rhymes,,,,,,,,,
1076988,"farm: a new account of rural toils and produce, The",,,,"Harris, John, 1756-1846 (pbl)|||Bentley, Samuel, 1785-1868 (prt)",London (St. Paul's Church Yard),"John Harris|||Harris, John, 1756-1846",1832,,,,monographic,,English,text,print,"viii, 175, [6] p., [29] leaves of plates : ill. ; 14 cm.",Fiction|||Juvenile fiction|||Juvenile works|||novel,,Children|||Conduct of life|||Farm life|||Cousins|||Pride and vanity|||Grandmothers,,"England, London",juvenile,,,,04021239,,
760225,Farm legends,,,,,New York,Harper & brothers,[c1875],,,,monographic,,English,text,print,"131 p. incl. front., illus., plates. 23 cm.",,,,,,,,,,34040184,,
7682759,"farmer's boy, The",,,,,London],Geo. Routledge & Sons,[1881],,,,monographic,,English,text,print,"30, [2] p. : chiefly ill. (some col.) ; 23 cm.",Juvenile literature|||Publishers' advertisements,,"Nursery rhymes, English",,,juvenile,,,,15002188,,
