,id,title,uniform_title,alternative_title,creator,contributor,publication_place,publisher,publication_date,encoded_date,creation_date,copyright_date,edition,issuance,frequency,language,type_of_resource,format,extent,genre,abstract,subject,temporal_coverage,geographic_coverage,target_audience,isbn,lccn,oclccn,url
2754,860219,West Irish folk-tales and romances,,,"Larminie, William, d. 1900",,London,E. Stock,1893,,,,,monographic,,eng,text,print,"xxviii, 258 p. incl. front. 21 cm.",,,Folklore,,,,,2028167,ocm04772886,http://digital.library.pitt.edu/cgi-bin/t/text/text-idx?c=darltext;view=toc;idno=31735054855865
2755,8061851,Westward ho!,,,"Kingsley, Charles, 1819-1875","Oakley, Thornton, 1881-1953 (illustrator.)",Philadelphia,Macrae Smith Co.,[1855],1855,,,,monographic,,eng,text,print|||unmediated|||volume,"604 pages illustrations, color plates 21 cm",Fiction|||History|||text,,History,"1558 - 1603|||Elizabeth, 1558-1603",,,,,ocm02458994,
2756,8061827,"Westward ho!, or, The voyages and adventures of Sir Amyas Leigh, knight, of Burrough, in the county of Devon, in the reign of Her Most Glorious Majesty Queen Elizabeth ; rendered into modern English",,"Voyages and adventures of Sir Amyas Leigh, knight, of Burrough, in the county of Devon, in the reign of Her Most Glorious Majesty Queen Elizabeth","Kingsley, Charles, 1819-1875",,London,Macmillan,1882,,,,,monographic,,eng,text,print|||unmediated|||volume,591 pages ; 20 cm,Fiction|||History|||text,,History,"1558 - 1603|||Elizabeth, 1558-1603",,,,,ocm21783141,
2757,8061846,"Westward ho!: or the voyages and aventures of Sir Amyas Leigh, knight, of Burrough, in the county of Devon, in the reign of Her Most Glorious Majesty Queen Elizabeth",,,"Kingsley, Charles, 1819-1875",,New York,Thomas Y. Crowell,1855?,1855,,,,monographic,,eng,text,print|||unmediated|||volume,"vii, 696 pages : illustrations ; 21 cm",Fiction|||History|||text,,History,"1558 - 1603|||Elizabeth, 1558-1603",,,,,ocm06106318,
2758,8381957,"Westward ho!: The voyages and adventures of Sir Amyas Leigh, knight, of Burrough, in the county of Devon, in the reign of Her Most Glorious Majesty Queen Elizabeth",,,"Kingsley, Charles, 1819-1875",,Boston,Ticknor and Fields,1855,,,,,monographic,,eng,text,print|||unmediated|||volume,"vi, 588 pages 21 cm",Fiction|||History|||text,,History,"1558-1603|||Elizabeth, 1558-1603",,,,15020286,ocm03401644,
2759,1559898,What Katy did: a story,,,"Coolidge, Susan, 1835-1905","Ledyard, Addie (ill.)",Boston,Roberts Brothers,1873,,,,,monographic,,eng,text,print,"vi, 274 p., [4] leaves of plates : ill. ; 18 cm.",,,Schools|||Juvenile literature,,,juvenile,,80476936 //r86,418216,
2760,6800574,"What the seven did, or, The doings of the Wordsworth Club",,Doings of the Wordsworth Club,"Sidney, Margaret, 1844-1924","Kilburn, Samuel Smith. (egr)|||Chandler, Victor L. L., approximately 1836- (egr)|||Weir, Harrison, 1824-1906 (ill)|||Howell, Agnes. (ill)",Boston,D. Lothrop and Company|||D. Lothrop & Company,c1882,1882,,,,monographic,,eng,text,print,405 p. : ill. ; 22 cm.,Family stories-1882|||Juvenile fiction|||novel,,Children|||Conduct of life|||Christmas stories|||Clubs|||Widows|||Cows|||Uncles|||Dogs|||Families,,United States Massachusetts Boston,juvenile,,,ocm13729563,
2761,7712517,What they did: stories about some little people and their friends,,,"Geikie, Evelyn Cunningham.",,London|||New York,G. Routledge,c1883,1883,,,,monographic,,eng,text,print,1 v. (unpaged) : ill. ; 24 cm,Fiction,,Conduct of life|||Animals|||Interpersonal relations|||Short stories,,,juvenile,,96145110,ocm42619103|||42619103,
2762,1025908,What to do and how to do it: the American boy's handy book,,The American boy's handy book,"Beard, Daniel Carter, 1850-1941",,New York,C. Scribner's sons,1890,,,,New ed.,monographic,,eng,text,print,"xiv, 441 p. : ill. ; 20 cm.",,,Amusements|||Juvenile literature|||Sports|||Recreation|||Handicraft|||Hobbies,,,juvenile,,4011760,1186501,
2763,8114448,"When I'm a man, or, Little Saint Christopher",,Little Saint Christopher,"Weber, Alice, (Author of The Old house in the square)","Groome, William H. C. (ill)",New York,E.P. Dutton & Co|||E.P. Dutton (Firm),[1890?],1890,,,,monographic,,eng,text,print|||unmediated|||volume,189 pages : illustrations ; 26 cm,Fiction|||Juvenile fiction|||Juvenile works|||novel|||text,,Children|||Conduct of life|||Fathers and sons|||Motherless families|||Grandmothers|||Seaside resorts|||Children's accidents|||Friendship,,United States New York New York,juvenile,,,ocn191092004,
2764,7940794,When Molly was six,,,"White, Eliza Orne, 1856-1947",,Boston|||New York,"Houghton, Mifflin and Company",©1894,1894,,,,monographic,,eng,text,print|||unmediated|||volume,"vi, 133 pages, [3] leaves of plates : illustrations ; 20 cm",text,,,,,juvenile,,4016480,ocm02167154,
2765,7111697,"Whist, or bumblepuppy?: ten lectures addressed to children",,,"Hewby, John Petch, 1835-1896",,Boston,Roberts Bros.,1883,,,,From the 2nd London ed.,monographic,,eng,text,print,"v, [1], 89 p. ; 17 cm.",,,Whist,,,,,7021137,ocm05012296,
