id,title,uniform_title,alternative_title,enumeration_chronology,associated_name,publication_place,publisher,publication_date,start_date,end_date,edition,issuance,frequency,language,type_of_resource,format,extent,genre,abstract,subject,temporal_coverage,geographic_coverage,target_audience,preceded_by,succeeded_by,issn,lccn,oclccn,url
540825,Match,,,,,"Tucson, Ariz",,,1969,9999,,serial,Monthly,English,text,microfilm,,newspaper,,Underground newspapers,,"Arizona|||Tucson|||United States, Arizona, Tucson",,,,0047-620x,,,
540672,Miami free press,,,,,"Coconut Grove/ Miami, Florida",,,1969,1969,,serial,Unknown,English,text,microfilm,,Florida|||newspaper,,Underground newspapers,,"United States, Florida, Miami|||Miami",,,Daily planet (OCoLC)4360935,,,,
540640,Midnight rider,,,,,"Dunedin, New Zealand",,,1972,9999,,serial,Unknown,English,text,microfilm,,newspaper,,Underground newspapers,,"New Zealand, Dunedin|||Dunedin|||New Zealand",,,,,,,
542094,Minus 8,,,,,"Wanchai, Hong Kong",,,,9999,,serial,Monthly,English,text,microfilm,,newspaper,,Underground newspapers,,"Hong Kong, Wanchai|||China|||Hong Kong",,,,,,,
543882,"Minus 9: years to ""0"" (1984)",,,,,s.l,Alternative Press Syndicate/Asian-Pacific.,,1975,9999,,serial,Monthly,English,text,microfilm,v. ill.,newspaper,,,,,,,,,,,
540641,Mockingbird,,,,,"Houston, Texas",,,,9999,,serial,Unknown,English,text,microfilm,,newspaper,,Underground newspapers,,"United States, Dunedin, Houston|||Texas|||Houston",,,,,,,
540685,"Mole, The",,,,,"Cambridge, Mass",,,1970,9999,,serial,Unknown,English,text,microfilm,,periodical,,Underground press publications,,"Cambridge|||United States, Massachusetts, Cambridge|||Massachusetts",,Old mole,,,,,
540666,Moniebogue press,,,,,"Westhampton Beach, N. Y",,,1971,9999,,serial,Unknown,English,text,microfilm,,newspaper,,Underground newspapers,,"Westhampton Beach|||New York (State)|||United States, New York, Westhampton Beach",,,,,,,
540670,Morning star,,,,,"Oshkosh, Wis",,,1970,9999,,serial,Unknown,English,text,microfilm,,newspaper,,Underground newspapers,,"Wisconsin|||Oshkosh|||United States, Wisconsin, Oshkosh",,,,,,,
542070,Mountain gazette,,,,,"Boulder, Colorado",Write On Publishing House.,,1972,9999,,serial,Monthly (except combined December-January issue)|||Monthly,English,text,microfilm,,newspaper,,Underground newspapers,,"Colorado|||Denver|||United States, Colorado, Denver",,Skier's gazette,,,,,
542095,Mountain life & work,,,,,"Clintwood, Va",,,1925,9999,,serial,monthly (bi-monthly July & Aug.)|||Monthly,English,text,microfilm,,newspaper,,Underground newspapers,,"Virginia|||United States, Virginia, Clintwood|||Clintwood",,,,,,,
540837,National underground review,,,,,New York,,,1968,9999,,serial,Unknown,English,text,microfilm,,newspaper,,Underground newspapers,,"United States, New York, New York|||New York|||New York (State)",,,,,,,
542015,National weed,,,,,New York,,,1976,9999,,serial,Unknown,English,text,microfilm,,newspaper,,Underground newspapers,,"United States, New York, New York|||New York|||New York (State)",,,,,,,
