id,title,creator,contributor,creation_date,sort_date,display_date,language,type_of_resource,format,extent,genre,abstract,subject,temporal_coverage,geographic_coverage,host,series,container,owner,depositor,collection_id
31735037972936,"Elizabeth Allen (sister),",,,,,"November 4, 1928-December 1, 1930",,text,,,archival document,,,,,Hervey Allen Papers,"IX. Family Papers, 1831-1965",Folder 11,ULS Archives & Special Collections,University of Pittsburgh,collection.129
31735037972944,"Winthrop Allen (brother),",,,,,"April 18, 1940-October 3, 1940",,text,,,archival document,,,,,Hervey Allen Papers,"IX. Family Papers, 1831-1965",Folder 3,ULS Archives & Special Collections,University of Pittsburgh,collection.129
31735037972977,"Winthrop Allen (brother),",,,,,"July 22, 1937-December 31, 1937",,text,,,archival document,,,,,Hervey Allen Papers,"IX. Family Papers, 1831-1965",Folder 10,ULS Archives & Special Collections,University of Pittsburgh,collection.129
31735037972985,"Winthrop Allen (brother),",,,,,"January 13,1941-October 3, 1941",,text,,,archival document,,,,,Hervey Allen Papers,"IX. Family Papers, 1831-1965",Folder 3,ULS Archives & Special Collections,University of Pittsburgh,collection.129
31735037973009,"Framed Letter From Theodore Roosevelt,",,,1898,1898-01-01T00:00:00,1898,,text,,,archival document,,,,,Hervey Allen Papers,"IX. Family Papers, 1831-1965","Box 158, Folder 7",ULS Special Collections Department,University of Pittsburgh,collection.129
31735037973017,"Winthrop Allen (brother),",,,,,"February 1, 1937-July 13, 1937",,text,,,archival document,,,,,Hervey Allen Papers,"IX. Family Papers, 1831-1965",Folder 10,ULS Archives & Special Collections,University of Pittsburgh,collection.129
31735062230549,"Bonfield Manor,",,,1926/1934,1926-01-01T00:00:00,1926-1934,,text,,,archival document,,,,,Hervey Allen Papers,"VIII. Estates and Financial Matters, 1919-1952","Box 147, Folder 2",ULS Special Collections Department,University of Pittsburgh,collection.129
31735062230556,"Account Book, Bookkeeping, Guestbook, and Land Description,",,,1926/1936,1926-01-01T00:00:00,1926-1936,,text,,,archival document,,,,,Hervey Allen Papers,"VIII. Estates and Financial Matters, 1919-1952","Box 146, Folder 1",ULS Special Collections Department,University of Pittsburgh,collection.129
31735062230564,Genealogy,,,,,,,text,,,archival document,,,,,Hervey Allen Papers,"IX. Family Papers, 1831-1965","Box 173, Folder 4",ULS Special Collections Department,University of Pittsburgh,collection.129
31735062230572,"Edgehill Home,",,,1899/1900,1899-01-01T00:00:00,1899-1900,,text,,,archival document,,,,,Hervey Allen Papers,"IX. Family Papers, 1831-1965","Box 178, Folder 2",ULS Special Collections Department,University of Pittsburgh,collection.129
31735062230580,"Portrait of Allen Family with John W. Alexander at Edgehill,",,,1876,1876-01-01T00:00:00,1876,,text,,,archival document,,,,,Hervey Allen Papers,"X. Oversized Material, 1856-1953","Box 193, Item 1",ULS Special Collections Department,University of Pittsburgh,collection.129
31735062230598,Richfield Springs: Typed Draft for Curtis Brown Ltd. (Chapters 1-4),,,,,,,text,,,archival document,,,,,Hervey Allen Papers,"II. Manuscripts, 1900-1949","Box 27, Folder 5",ULS Special Collections Department,University of Pittsburgh,collection.129
31735062230606,"Richfield Springs: Handwritten Holograph (Notes, General Approach, Outline, Headings),",,,1935,1935-01-01T00:00:00,1935,,text,,,archival document,,,,,Hervey Allen Papers,"II. Manuscripts, 1900-1949","Box 27, Folder 1",ULS Special Collections Department,University of Pittsburgh,collection.129
US-PPiU-sc195201,"Hervey Allen papers, 1831-1965","Allen, Hervey, 1889-1949",,,,,English,mixed material,,90.0 (185 9,Correspondence|||Diaries|||Family papers|||Financial records|||Manuscripts for publication|||Personal papers,"The Hervey Allen papers consist of handwritten, holograph and typewritten drafts and manuscripts, research notes, singular serial publications, and associated material related to press coverage of Allen's novels and film adaptations. Extensive personal and professional correspondence exists with Allen's main publishing company, Farrar and Rinehart/Rinehart Company, and other international publishers; financial and business correspondence related to his personal and professional finances; and personal correspondence with notable writers such as Stephen Vincent Benét, William Rose Bené́t, John Bennett, Carl Carmer, Padraic Colum, John Drinkwater, Robert Frost, DuBose Heyward, Amy Lowell, Kenneth Roberts, E.A. Robinson and Philip Wylie. Also present are the Allen's family papers which include correspondence, diaries, genealogical research, journals, newspaper clippings, photographs, and scrapbooks.","Alumni and alumnae|||Authors, American|||Poets, American|||World War, 1914-1918|||History|||Fiction|||Alexander, John White 1856-1915|||Allen, Edward Jay 1830-1915|||Allen, Hervey 1889-1949|||Benét, Stephen Vincent 1898-1943|||Benét, William Rose 1886-1950|||Butcher, Fanny 1888-1987|||Farrar, John Chipman 1896-1974|||Frost, Robert 1874-1963|||Lowell, Amy 1874-1925|||Wyeth, Andrew 1917-2009|||Allen family|||Bread Loaf School of English (Middlebury College).|||Bread Loaf Writers' Conference of Middlebury College.|||Farrar & Rinehart.|||Rinehart & Company, Inc.|||St. John's College (Annapolis, Md.).|||United States. War Manpower Commission.|||University of Pittsburgh","20th century|||Civil War, 1861-1865|||Colonial period, ca. 1600-1775|||19th century",United States|||Oregon National Historic Trail|||Pittsburgh|||Pennsylvania|||West (U.S.),,,,,University of Pittsburgh,collection.129
