id,title,uniform_title,alternative_title,enumeration_chronology,associated_name,publication_place,publisher,publication_date,start_date,end_date,edition,issuance,frequency,language,type_of_resource,format,extent,genre,abstract,subject,temporal_coverage,geographic_coverage,target_audience,preceded_by,succeeded_by,copyright_status,copyright_holder,copyright_note,record_id,issn,lccn,oclccn,depositor,url,collection_id
31735068208143,"Opera program - The Ford English Opera Company in Martha with Zelda Seguin,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068208150,"Theatre program - Pittsburgh Press Club Testimonial featuring Musette, or the Secret of Guilde Court with Lotta Crabtree; Sheehan and Coyne; Sea of Ice with Lottie Church; etc.,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068208168,"Burlesque program - Pinafore in Pennsylvania Dutch,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068208176,"Theatre program - The Duke's Motto with Alexander Salvini and Violla Allen,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068208184,"Advertising - Henry VIII with Charlotte Cushman; and Miscellaneous Selections,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068208192,"Theatre program - Rip Van Winkle with Mr. Joseph Jefferson,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068208267,"Theatre program - Wild Oats!; and Blackened Susan with Edwin Adams,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068208333,"Theatre program - The Heir at Law; and Toodles with J. S. Clarke,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068208440,"Theatre program - Rip Van Winkle, or, The Sleep of Twenty Years with Joseph Jefferson,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068208465,"Theatre program - 'Twixt Axe and Crown with Clara Rousby,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068208564,"Theatre program - Hunchback with Clara Morris,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068208572,"Theatre program - King John! with Agnes Booth and J. B. Booth,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068208655,"Theatre program - Lady of Lyons with Katherine Randolph,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068208663,"Theatre program - Julius Caesar with Lawrence Barrett,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068208671,"Theatre program - London Assurance! with Jane Coombs,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068208770,"Theatre program - Clancarity! or, Wedded and Wooed with Edwin Adams,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068208796,"Theatre program - Money! with Lawrence Barrett,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068208838,"Theatre program - Col. Mulberry Sellers! with John T. Raymond,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068208861,"Theatre program - Salsbury's Troubadours in Little Mother; and Patchwork!,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068208945,"Theatre program - As You Like It! or, The Forest of Arden with Effie E. Ellsler,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068208960,"Theatre program - Guy Mannering! with Emma Waller,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068208986,"Theatre program - Augustin Daly's Fifth Avenue Theatre Company in Big Bonanza!,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068209026,"Opera program - La Jolie Parfumeuse! with Alice Oates,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068209059,"Theatre program - The Unequal Match! with Jane Coombs,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068209083,"Theatre program - Dundreary Married and Settled! with E.A. Sothern,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068209117,"Theatre program - Furbish's Fifth Avenue Combination in Two Orphans,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068209125,"Theatre program - Richard III with Barry Sullivan,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068209141,"Opera program - Trial by Jury!; and Les Bavards with Alice Oates,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068209174,"Theatre program - Macbeth with Barry Sullivan,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068209265,"Theatre program - Twelve Temptations!,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068209299,"Theatre program - Hamlet with Barry Sullivan,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068209307,"Theatre program - Mighty Dollar! with William J. Florence and Malvina Florence,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068209331,"Burlesque program - Bryant's Minstrels in Soiree d'Ethiope! and Dark Deeds in Dixey!; Walters and Morton; etc.,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068209364,"Theatre program - Richelieu! or, The Conspiracy with Barry Sullivan,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068209380,"Theatre program - Victor of Rhe! or, Risen from the Dead with J. Newton Gotthold,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068209414,"Theatre program - Avalanche! or, Under the Snow with Effie E. Ellsler,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068209422,"Theatre program - Musette with Lotta Crabtree,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068211279,"Theatre program - Galatea or, the Statue; and Leah, the Forsaken with Katherine Randolph,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068211295,"Theatre program - Everybodie's Friend with John E. Owens and Minnette Thompson,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068211394,"Theatre program - No Thoroughfare! with Charles Fechter and Lizzie Price,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068211527,"Theatre program - Our American Cousin! with E.A. Sothern,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068211576,"Souvenir benefit program - Two Orphans with Kate Claxton,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068211642,"Theatre program - Hornet's Nest! and Dundreary Married & Settled! with E.A. Sothern,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068211683,"Theatre program - Conn In The Shaughraun with Dion Boucicault,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068211741,"Theatre program - Monte Cristo with Charles Fechter and Lizzie Price,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068211766,"Theatre program - Romeo and Juliet with Adelaide Neilson and Eben Plympton,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068211840,"Theatre program - Victims!; and Solon Shingle! with John E. Owens,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068211915,"Theatre program - Reopening of the Fulton Give 'Em Hell Harry,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068211923,"Opera program - Pittsburgh Opera Aida,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068211931,"Concert program - Inaugural Concert at Heinz Hall by the Pittsburgh Symphony Orechestra,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068211949,"Vaudeville program - Houdini Chinese Water Torture Cell performance,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068211956,"Vaudeville program - The Grand Conservatory Female Serenaders!; The Great Classical Living Statue Troupe; Live Indian!; etc,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068211964,"Theatre program - Much Ado About Nothing at the house of Mr. William Thaw,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068212079,"Vaudeville program - Kernell & Thatchers Minstrels!; Rip Van Winkle or, The Sleep of Twenty Years with Billy DeVere; etc",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068212087,"Opera program - The Boston Ideal Opera Company in Musketeers,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068212194,"Vaudeville program - Houdini performance,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068212202,"Opera program - The Conried English Opera Company in The Gypsy Baron with Laura Bellini,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068212327,"Opera program - The Temple Theater Comic Opera Company in The Little Tycoon,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068212434,"Vaudeville program - Miss Ettie Romaine; Squire for a Day; etc.,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068212442,"Theatre Program - Meg Merrilies with Francesca Janauschek,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068212459,"Opera program - Baba with Belle Howitt and William H. Fitzgerald,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068212491,"Theatre program - The Danites with McKee Rankin and Kitty Blanchard,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068212517,"Theatre program - H. M. S. Pinafore with Effie Ellsler,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068212525,"Burlesque program - Colville Opera Burlesque Co. in Il Trovatore, or, The Mother, The Maiden, and The Musicianer,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068212533,"Theatre program - Herrmann the Great performance,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068212541,"Theatre program - Frou-Frou! with Helena Modjeska,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068212566,"Theatre program - Princess Ida! or, Castle Adamant,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068212624,"Burlesque program - Emerson's Megatherian Minstrels in Schoolcraft's Visit; Frank Naoni; Harry Robinson; etc.,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068212632,"Theatre program - Ingomar with Mary Anderson and John W. Norton,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068212640,"Theatre program - Zip or, Point Lynde Light with Lotta Crabtree,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068212657,"Theatre program - Rip Van Winkle with Joseph Jefferson,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068212665,"Burlesque program - Haverly's Mastodon Minstrels performing The Old Kentucky Home! and Her Majesty's Opera!,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068212673,"Theatre program - The White Slave!,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068212681,"Theatre program - The Bandit King with James. H. Wallick,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068212731,"Theatre program - Othello with Edwin Booth,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068212749,"Theatre program - Fanchon with Maggie Mitchell and William Harris,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068212756,"Theatre program - Little Em'ly with George Fawcett Rowe,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068212764,"Theatre program - Sharps and Flats with Stuart Robson and William H. Crane,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068212772,"Theatre program - The Rivals with Joseph Jefferson,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068212780,"Opera program - Three Pair of Shoes with Marie Geistinger,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068212798,"Opera program - Boccaccio; or, The Prince of Palermo with Marie Geistinger,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068212806,"Theatre program - Anselma with Madame Janish,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068212855,"Theatre program - The Danites with McKee Rankin and Kitty Blanchard,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
31735068212863,"Opera program - Evangeline!,",,,,,,,,,,,,,,text,,,archival document,,,,,,,,unknown,,,,,,,University of Pittsburgh,,collection.254|||collection.10
