id,title,uniform_title,alternative_title,creator,contributor,publication_place,publisher,publication_date,encoded_date,creation_date,copyright_date,edition,issuance,language,type_of_resource,format,extent,genre,abstract,subject,temporal_coverage,geographic_coverage,target_audience,record_id,isbn,lccn,oclccn,url,depositor,collection_id
,Famous American plays of the 1950s,,,,"Strasberg, Lee (ed)",New York,Dell Pub. Co.,1962],1962]||||||1962,,,,monographic,English,text,print,415 p. 17 cm.,,,American drama,20th century,,,997506333406236,,63001659 /L,01960499,,,
,Seeing more things,,,"Brown, John Mason, 1900-1969",,New York,Whittlesey House,[1948],[1948]||||||1948,,,,monographic,English,text,print,"ix, 347 p. 22 cm.",,,,,,,997562323406236,,48008561 //r86,00185026,,,
,Routines,,,"Ferlinghetti, Lawrence.",,New York,Published for J. Laughlin by New Directions Pub. Corp.,c1964],c1964]||||||1964,,,,monographic,English,text,print,56 p. illus. 21 cm.,,,,,,,997564563406236,,64023652,00248032,,,
,Watch on the Rhine: a play in three acts,,,"Hellman, Lillian, 1905-1984",,New York,Random house,[c1941],[c1941]||||||1941,,,,monographic,English,text,print,"4 p.l., 3-170 p. front., plates. 21 cm.",,,,,,,997581563406236,,41051806 //r81,00541885,,,
,Elegy in Manhattan,,,"Jessel, George, 1898-1981",,New York,"Holt, Rinehart and Winston",[1961],[1961]||||||1961,,,,monographic,English,text,print,198 p. 22 cm.,,,Biography|||Poetry,,United States,,997590683406236,,61008038,00942582,,,
,"pirate, The",,,"Behrman, S. N. (Samuel Nathaniel), 1893-1973",,New York,Random House,[1943],[1943]||||||1943,,,,monographic,English,text,print,209 p. illus. 20 cm.,,,,,,,997593913406236,,43051114,01060428,,,
,Mourning becomes Electra: a trilogy,,,"O'Neill, Eugene, 1888-1953",,New York,H. Liveright,1931,1931,,,,monographic,English,text,print,256 p. 21 cm.,,,,,,,997595393406236,,31028367,01139026,,,
,Liberty Jones: a play with music for city children,,,"Barry, Philip, 1896-","Bowles, Paul, 1910-1999",New York,"Coward-McCann, inc.",[c1941],[c1941]||||||1941,,,,monographic,English,text,print,"5 p. l., 3-167 p. 12 cm.",,,,,,,997605183406236,,41013086,01485882,,,
,"Emperor Jones, Diff'rent, The straw, The",,Diff'rent|||Straw,"O'Neill, Eugene, 1888-1953",,New York,Boni and Liveright,[c1921],[c1921]||||||1921,,,,monographic,English,text,print,"x p., 1 ℓ., 285 p. ; 20 cm.",,,American drama,20th century,,,997618813406236,,21026427,ocm02618976,,,
,"production: a novel of the Broadway theater, The",,,"Broun, Daniel.",,New York,Dial Press,1970,1970,,,,monographic,English,text,print,369 p. 24 cm.,,,,,,,997641703406236,,75103434,00069599,,,
,Alexander Woollcott: the man who came to dinner: a biography,,,"Hoyt, Edwin P. (Edwin Palmer), 1923-2005",,London|||New York [etc.],Abelard-Schuman,1968,1968,,,,monographic,English,text,print,357 p. ports. 22 cm.,biography,,"Woollcott, Alexander 1887-1943",,,,997645703406236,0200715046,67013458,00160218,,,
